combo,combo_title,metric_family,metric,percentile,policy,policy_label,per_gpu_rate,mean,min,max,unit,window_low,window_high
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1.25,1.3104569956742655,1.29839263599151,1.322521355357021,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1.5,1.4599666890541374,1.4046556782328454,1.5152776998754294,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1.75,1.4543636953659105,1.4043834769575356,1.5043439137742851,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,2.0,1.454552650072227,1.4017213286172885,1.5073839715271655,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,0.75,0.15284256522555376,0.1528180694808184,0.1528670609702891,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1.0,0.6453895320564588,0.5327376060071398,0.7580414581057777,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1.25,0.8771359785654599,0.8032780985821923,0.9509938585487274,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1.5,0.949615618684212,0.8795043552613114,1.0197268821071126,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,1.75,0.989722616137511,0.9252564711133816,1.0541887611616405,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,phase,PhaseServe,2.0,1.0985696247415508,0.9970469818665424,1.2000922676165595,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,0.75,1.4273831235660093,1.330987695051978,1.5237785520800406,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1.0,2.1776806958728585,2.0053843985622146,2.3499769931835024,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1.25,2.46117018581782,2.164795656998953,2.7575447146366874,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p95,p95,fcfs,DistServe,1.5,2.4595296317137163,2.1440335135596493,2.7750257498677833,s/token,0.75,2.0
