combo,combo_title,metric_family,metric,percentile,policy,policy_label,seed,per_gpu_rate,value,unit,window_low,window_high
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,1.25,16.76204954050481,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,1.5,14.186243183910843,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,1.5,24.528970823436964,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,1.75,19.62254557274282,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,1.75,30.96576707269996,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,2.0,22.188672551512717,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,2.0,31.736767557077105,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,0,2.25,27.945613557845352,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,ttft,ttft_s_p90,p90,phase,PhaseServe,1,2.25,37.80312666986138,s,1.0,2.25
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,0,0.75,0.9105772357742812,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,1,0.75,0.6243503320782187,s/token,0.75,2.0
llama13b_sharegpt,LLaMA2-13B + ShareGPT,tpot,tpot_s_p90,p90,fcfs,DistServe,0,1.0,1.1368449749534617,s/token,0.75,2.0
