combo,workload,policy,per_gpu_rate,ttft_s_p90,tpot_s_p90,context_queue_s_median,bridge_queue_s_median,decode_queue_s_median,context_exec_s_median,decode_exec_s_median,phase_decode_handoff_debt_pressure_mean,phase_decode_rho_hard_mean,phase_decode_infeasible_rounds,phase_context_prefill_budget_ratio_mean,phase_decode_kas_intensity_mean
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,2.75,54.12112575490028,0.8936867959331721,25.026433527469635,0.4275256395339966,0.0011476874351501,0.36370962858200073,0.35035812854766846,0.4894764303501472,0.6677095514647002,758.0,0.7802642449936741,1.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,3.0,55.2710440531373,0.8986398368841038,25.710068345069885,0.4347294569015503,0.0011437535285949,0.3635593056678772,0.3506414890289306,0.489308161119378,0.75861428762192,758.0,0.7794954528524605,1.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,3.25,56.23572887899354,0.8984669618774206,26.288361191749573,0.4094048738479614,0.00114494562149045,0.36292028427124023,0.3502253890037536,0.4890045628473382,0.5507244478368667,758.0,0.8705115966518584,0.6848382727833616
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,3.5,57.19045299850404,0.8948140125721693,26.849405229091644,0.438032865524292,0.00113636255264275,0.36375272274017334,0.3500688672065735,0.4890639614777248,0.5777333541957084,758.0,0.7910334740300482,0.9352199223803364
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,3.75,58.0291690886952,0.8977280985331163,27.388907730579376,0.4378660321235656,0.001144528388977,0.36284637451171875,0.3513513207435608,0.4896901492830232,0.6677879628158552,758.0,0.7802117800655025,1.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,4.0,58.69212139211595,0.9004579439759254,27.780223488807678,0.44051116704940796,0.00114762783050535,0.363977313041687,0.3506549596786499,0.4892366815724741,0.7586346876617249,758.0,0.7794051438858473,1.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,4.25,59.24121434753761,0.8951173902489246,28.099091827869415,0.4396359324455261,0.001150369644165,0.3623166084289551,0.3506999015808105,0.48944328586189445,0.5508115156213572,758.0,0.8704882281683787,0.6849320590379685
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,4.5,59.702555946074426,0.9027026793686674,28.405862748622894,0.4407675862312317,0.0011490583419799501,0.3632406592369079,0.35037833452224726,0.48913671270005166,0.5777333541957084,758.0,0.7911518229458095,0.9352199223803364
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,4.75,60.20389705430716,0.9005914881592616,28.72059202194214,0.43201291561126703,0.00114339590072625,0.3632301092147827,0.3509191870689392,0.48911458175164746,0.6677420615297714,758.0,0.7802100592975187,1.0
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,5.0,60.59772036829963,0.8975889301160349,28.94381195306778,0.4425233006477356,0.0011472105979919,0.3641148805618286,0.35047972202301025,0.4893638680949922,0.7586018485732584,758.0,0.7794741297375221,1.0
