global_rate,per_gpu_rate,policy,label,n,slo_attainment_completed_mean,slo_attainment_completed_std,slo_attainment_submitted_mean,slo_attainment_submitted_std,goodput_req_s_mean,goodput_req_s_std,throughput_req_s_mean,throughput_req_s_std,throughput_completed_req_s_mean,throughput_completed_req_s_std,ttft_p50_mean,ttft_p50_std,ttft_p90_mean,ttft_p90_std,ttft_p95_mean,ttft_p95_std,ttft_p99_mean,ttft_p99_std,tpot_p50_mean,tpot_p50_std,tpot_p90_mean,tpot_p90_std,tpot_p95_mean,tpot_p95_std,tpot_p99_mean,tpot_p99_std
3.0,1.5,kas_pbc,w/o BPS,2,0.2421875,0.0662912607362388,0.2421875,0.0662912607362388,0.3272607673879349,0.1317122775190752,1.3265333166952349,0.1807471960638915,1.3265333166952349,0.1807471960638915,7.539964470546693,0.318374656180539,20.683374704979357,0.2799870495927492,22.07225512033328,0.0791933526523605,25.691074847597633,4.237691939037051,0.1043642350110587,0.0077420384998431,1.7624740000756545,0.2097841666100904,2.553159602902211,0.2022413780147587,5.5866662871185735,0.6567526512477466
3.5,1.75,kas_pbc,w/o BPS,2,0.2265625,0.0773398041922786,0.2265625,0.0773398041922786,0.3031892220577497,0.1384712655244563,1.3102367100948618,0.1639186313718479,1.3102367100948618,0.1639186313718479,10.60470602940768,0.2336962855309365,26.126387024950233,0.3955142444031422,27.443493051873524,0.9899247412780162,31.05057555710897,5.07796560253501,0.104973358859047,0.0060962320175506,1.964940856365664,0.265675157166133,2.75008707639451,0.2254140348123326,5.477797938180162,0.6144931824129513
4.0,2.0,kas_pbc,w/o BPS,2,0.2265625,0.0773398041922786,0.2265625,0.0773398041922786,0.3092474069389621,0.1468819353403925,1.331902434527504,0.1936457350656712,1.331902434527504,0.1936457350656712,12.102586925495416,1.7412760656581072,28.997360387910156,1.4627936087712303,30.498849937738857,2.1127775106558615,33.40827852775343,5.952269989874074,0.1010068139874097,0.0028880136893078,1.8594369694435344,0.0941094975570753,2.8076940831914565,0.3893088777856057,5.6085292252572305,0.609811108175519
4.5,2.25,kas_pbc,w/o BPS,2,0.20703125,0.0718155324642587,0.20703125,0.0718155324642587,0.2830679941875347,0.1362481783513086,1.3333486110123174,0.1955890132092583,1.3333486110123174,0.1955890132092583,14.280712039209902,1.44367884036719,32.750025171414016,2.351847042519857,34.06723764198833,2.443885656080248,37.83094548057765,7.29432081795663,0.1047177828063432,0.0079410542576358,1.895683434070017,0.1867718991391154,3.035235529627342,0.3314047020016207,5.321624020780441,0.3998528942980358
5.0,2.5,kas_pbc,w/o BPS,2,0.203125,0.0773398041922786,0.203125,0.0773398041922786,0.279218232057715,0.1420811455374779,1.3384693064028004,0.1898544810481739,1.3384693064028004,0.1898544810481739,15.596649057231843,1.740719652842234,34.96789279663935,2.7231395592016607,35.74151793951169,3.5200659117719297,39.33597436508164,8.28028711309014,0.1040002702214958,0.0087432046252388,1.8829346766212076,0.0961291650022929,2.9371998582330243,0.1862952501185936,5.562356678931978,0.7511240228633471
1.5,0.75,phase,PhaseServe,2,0.94921875,0.0055242717280199,0.94921875,0.0055242717280199,1.1337058525167656,0.0997008885070711,1.194682655839275,0.1119875056478601,1.194682655839275,0.1119875056478601,0.0762203759513795,0.0008412952187594,0.1966325117275119,0.0211483466007024,0.2245279532857239,0.0037106055135943,0.2660480078589172,0.0231175103858408,0.0300553459227412,0.0006896186240812,0.0497833440325318,0.0128788277250243,0.0697250677502921,0.0210809251044664,0.1536221251403913,0.0382464333512346
2.0,1.0,phase,PhaseServe,2,0.7265625,0.0662912607362388,0.7265625,0.0662912607362388,0.8738708097124136,0.2133490760963758,1.1943222099794997,0.1846722767436303,1.1943222099794997,0.1846722767436303,0.0762400976382196,6.836943227425793e-05,0.1995632933452725,0.006988975602792,0.2291967013850808,0.0027678004004498,0.2925600078701974,0.0304978635863676,0.041316974301238,0.0062600288572486,0.2858315830607898,0.0326215060915469,0.4279165964748246,0.0740205799527439,0.9192488923956026,0.0281157286882258
2.5,1.25,phase,PhaseServe,2,0.5625,0.0662912607362388,0.5625,0.0662912607362388,0.6785539043809978,0.1823529893712667,1.195517585785423,0.1832899935594782,1.195517585785423,0.1832899935594782,0.0935290339402854,0.0187644150866782,1.5467551308684044,1.673175002651488,2.8140655676368627,1.1568061907884786,4.784284662241124,3.139575058599832,0.0655983776872487,0.0139294909962105,0.8366692950141925,0.1931255633152816,1.3374039995397045,0.131300431253065,3.3337226968514786,1.3067622845637727
3.0,1.5,phase,PhaseServe,2,0.40234375,0.1049611628323781,0.40234375,0.1049611628323781,0.4892671387851094,0.1971375398449772,1.1927173585911195,0.1788235531355732,1.1927173585911195,0.1788235531355732,0.1942338184453547,0.1024067523210656,7.869197807926684,2.8290025605421385,9.739958202559505,3.4790165046345325,11.442982258470735,5.104850994710831,0.0766259299097843,0.0164217906363178,1.0394066957725832,0.1263859237262866,1.7587107097898214,0.1583058470935436,4.195230672783222,0.5900845487493764
3.5,1.75,phase,PhaseServe,2,0.359375,0.110485434560398,0.359375,0.110485434560398,0.4349156619066031,0.2030118377680734,1.1790863476974138,0.2024068737627605,1.1790863476974138,0.2024068737627605,2.295391066465527,3.060687387464475,14.865443497989324,7.1557450485014344,17.70773169719614,10.466097218900908,19.09450495325029,11.985430401834655,0.0802082402321378,0.0107555447233813,1.201800355892205,0.1552916560145119,1.845463400007696,0.0293566284205665,6.1223241893574665,0.2141518862723657
