combo,combo_title,policy,policy_label,per_gpu_rate,slo_attainment_completed,goodput_req_s,throughput_completed_req_s,ttft_s_median,ttft_s_p90,ttft_s_p99,tpot_s_median,tpot_s_p90,tpot_s_p99
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,4.25,0.17708333333333331,0.19890258836605812,1.1228129395769135,28.466480924282223,59.24121434753761,61.365336976666,0.057837122708145,0.8951173902489246,3.9774894517846384
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,4.5,0.17708333333333331,0.19897572454220044,1.1232755209529453,28.774437083862722,59.702555946074426,61.94168629366905,0.0581328029278665,0.9027026793686674,3.9374148013070203
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,4.75,0.17708333333333331,0.19886819211171114,1.1225601864703427,29.08800623146817,60.20389705430716,62.49885172126814,0.058247420296777354,0.9005914881592616,3.95579674656037
llama13b_longbench4k,LLaMA2-13B + LongBench 4K,phase,PhaseServe,5.0,0.171875,0.1930315929995769,1.1226930315338493,29.31274148495868,60.59772036829963,62.946218044962734,0.058717396322411096,0.8975889301160349,3.929550074785945
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,0.25,1.0,0.49979200143905833,0.49979200143905833,0.0868295989930629,0.2081157910637557,0.27035773066803814,0.0261848446043811,0.028776639253324347,0.0598708770695416
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,0.5,1.0,0.9418016326900118,0.9418016326900118,0.08298568287864325,0.2060816629789769,0.2955127311591059,0.0282164670855581,0.08723433621839351,0.42322875884917555
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,0.75,0.92578125,1.1303605467810673,1.2200636163574492,0.0918237841688096,1.5856178082525727,2.9394655951671305,0.058587452800479056,0.7674637839262499,4.494580554914806
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,1.0,0.69921875,0.8790438066792283,1.255851562217328,0.13291576458141205,12.64364718971774,14.66829910551198,0.08870795656352626,1.1621022399476564,7.298179840472547
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,1.25,0.609375,0.7747731722890273,1.272394145949248,0.5626434599980712,22.352746533509347,24.908025951152666,0.0950994464125991,1.3104569956742655,9.320717686013216
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,1.5,0.58984375,0.7547554748243253,1.2813452964872554,2.8570982650853693,28.924985660798846,32.3178330589179,0.1001280732869913,1.4599666890541374,10.05643578659294
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,1.75,0.52734375,0.6779901538531478,1.2893594117897451,5.070969608612359,33.902542958036065,37.799097476275634,0.100796576247298,1.4543636953659105,10.26777259997814
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,2.0,0.51171875,0.6604552453663771,1.2940209999172176,6.676280114799738,37.47018913384527,41.70362442238256,0.10098616371862836,1.454552650072227,10.34979533037201
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,2.25,0.50390625,0.6523381146635021,1.2969856992281819,8.013504804112017,40.302121941652146,44.903245115010066,0.1027324508364,1.4644100487886083,10.502745461179247
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,2.5,0.46875,0.6082448486283774,1.2990048468544677,9.164547752588987,42.59615874970332,47.492228579958905,0.10458935954937304,1.4607268818810097,10.546836058489482
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,2.75,0.44921875,0.5843369723020819,1.3016261736126946,10.152550324331969,44.433751242700964,49.54702129934915,0.10623233405012564,1.4595592204414927,10.536894856602256
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,3.0,0.42578125,0.5540356093919667,1.3015619065560755,10.987759849522263,46.07329669278114,51.42110223499127,0.1067087472358155,1.4573882641136913,10.540026506710568
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,3.25,0.40625,0.5293223224705246,1.3029472553120605,11.711730515118688,47.43794789239764,52.986404933976004,0.1068326302547614,1.453846996203618,10.507757691861565
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,3.5,0.3828125,0.49832316242087904,1.3024145634502677,12.371142443269491,48.656514106038955,54.41138309573755,0.10683340895630125,1.4555793153195986,10.48968217677893
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,3.75,0.359375,0.46853053809739975,1.3051648576344794,12.90069847367704,49.55118570774793,55.429241311205544,0.10683546658748355,1.4532370711417566,10.385349324327263
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,4.0,0.35546875,0.46359290806100506,1.3053205360000721,13.373954097740352,50.4618338051252,56.45969679827802,0.1067675126999949,1.4556904848337404,10.381215201202284
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,4.25,0.34765625,0.4528717595759426,1.3041896074081885,13.847241177689284,51.303667175956065,57.374177238000556,0.1067021937194243,1.4557111711668538,10.37832248137336
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,4.5,0.34765625,0.45290855932267066,1.30411670768223,14.165119908750057,52.04907715963199,58.1566150806006,0.1067905257616602,1.4604229933434076,10.401207034441013
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,4.75,0.34765625,0.45312618786462505,1.3047545380543144,14.501458982937038,52.67683243108913,58.866086540455,0.10672292180246595,1.46325449746724,10.402839464950546
llama13b_sharegpt,LLaMA2-13B + ShareGPT,fcfs,DistServe,5.0,0.34765625,0.4532743044050883,1.305008014407403,14.76629035687074,53.240327327419074,59.51660137320869,0.10678780276202054,1.4682755268513303,10.409289515971642
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,0.25,1.0,0.4988185549474464,0.4988185549474464,0.08741114940494295,0.20635117171332235,0.2664308329299092,0.027139632943572,0.029637956113160897,0.044279943010769804
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,0.5,1.0,0.9374254042226553,0.9374254042226553,0.08353538718074555,0.2078378954902291,0.2914788147155196,0.0288060993688485,0.034567118202033245,0.055545219453774504
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,0.75,0.99609375,1.095596943823741,1.0997808533440323,0.08041060902178285,0.2097029959782957,0.38432311314158185,0.03477390385158445,0.15284256522555376,0.47196506573430597
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,1.0,0.94140625,1.0596332729405784,1.12522331983907,0.10229092556983224,1.078612679988146,2.3743759799934927,0.06093536696260305,0.6453895320564588,3.600965704756482
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,1.25,0.76953125,0.8620667925028471,1.11503109194167,0.32412845036014915,12.306059155333786,16.112355144545436,0.07988753206254424,0.8771359785654599,5.134764278808399
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,1.5,0.671875,0.757120207459155,1.1211497849076024,0.28534167958423495,19.357607003673905,23.05905117236078,0.08127252455673156,0.949615618684212,3.6058027135957085
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,1.75,0.671875,0.7604342158433395,1.1258925889456923,1.1900843321345747,25.294156322721392,28.851553632086144,0.0850575084823427,0.989722616137511,3.723105334479497
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,2.0,0.61328125,0.692464283486208,1.120615189908988,1.939155244268477,26.962720054294913,33.08134649724701,0.0899233560549145,1.0985696247415508,4.560890968865719
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,2.25,0.625,0.6963807438860903,1.1070175747342827,2.986146113369614,32.87437011385337,34.9034872503858,0.0960162175103606,1.181968166144893,4.564111350967686
llama13b_sharegpt,LLaMA2-13B + ShareGPT,phase,PhaseServe,2.5,0.5625,0.6497208887516797,1.1457567541288372,4.981548180337995,38.748307657148686,42.992679836964236,0.0914371913922959,1.3759573754855072,5.291011124059568
